tick,user,event
36,9887,aware
36,9887,evidence
36,9887,detect
44,7534,aware
44,7534,evidence
44,7534,detect
44,8694,aware
44,8694,evidence
44,8694,detect
45,703,aware
45,703,evidence
45,703,detect
45,10216,aware
45,10216,evidence
45,10216,detect
46,5326,aware
46,5326,evidence
46,5326,detect
48,5078,aware
48,5078,evidence
48,5078,detect
48,6724,aware
48,6724,evidence
48,6724,detect
49,11733,aware
49,11733,evidence
49,11733,detect
54,7313,aware
54,7313,evidence
54,7313,detect
55,1388,aware
55,1388,evidence
55,1388,detect
57,6332,aware
57,6332,evidence
57,6332,detect
58,7689,aware
58,7689,evidence
58,7689,detect
60,5794,aware
60,5794,evidence
60,5794,detect
61,510,aware
61,510,evidence
61,510,detect
61,4965,aware
61,4965,evidence
61,4965,detect
61,220,aware
61,220,evidence
61,220,detect
61,8042,aware
61,8042,evidence
61,8042,detect
61,6669,aware
61,6669,evidence
61,6669,detect
62,11720,aware
62,11720,evidence
62,11720,detect
62,7178,aware
62,7178,evidence
62,7178,detect
62,6370,aware
62,6370,evidence
62,6370,detect
64,9235,aware
64,9235,evidence
64,9235,detect
65,8917,aware
65,8917,evidence
65,8917,detect
67,2981,aware
67,2981,evidence
67,2981,detect
67,5963,aware
67,5963,evidence
67,5963,detect
67,6582,aware
67,6582,evidence
67,6582,detect
67,7542,aware
67,7542,evidence
67,7542,detect
69,3326,aware
69,3326,evidence
69,3326,detect
69,8808,aware
69,8808,evidence
69,8808,detect
70,4695,aware
70,4695,evidence
70,4695,detect
70,4325,aware
70,4325,evidence
70,4325,detect
