tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,256,0,0,0,0,0,0,878
1,0,0,0,640,0,0,0,0,0,0,829
2,0,0,0,1536,0,0,0,0,0,0,778
3,0,0,0,384,0,0,0,0,0,0,901
4,0,0,0,512,0,0,0,0,0,0,762
5,0,0,0,384,0,0,0,0,0,0,855
6,0,0,0,1408,0,0,0,0,0,0,807
7,0,0,0,512,0,0,0,0,0,0,809
8,0,0,0,2560,0,0,0,0,0,0,800
9,0,0,0,1280,0,0,0,0,0,0,739
10,0,0,0,256,0,0,0,0,0,0,858
11,0,0,0,1280,0,0,0,0,0,0,822
12,0,0,0,1536,0,0,0,0,0,0,720
13,0,0,0,256,0,0,0,0,0,0,635
14,0,0,0,512,0,0,0,0,0,0,669
15,0,0,0,256,0,0,0,0,0,0,590
16,0,0,0,384,0,0,0,0,0,0,767
17,0,0,0,128,0,0,0,0,0,0,559
18,0,0,0,384,0,0,0,0,0,0,614
19,0,0,0,640,0,0,0,0,0,0,474
20,0,0,0,256,0,0,0,0,0,0,497
21,0,0,0,1664,0,0,0,0,0,0,689
22,0,0,0,4096,0,0,0,0,0,0,687
23,0,0,0,2176,0,0,0,0,0,0,655
24,0,0,0,1920,0,0,0,0,0,0,626
25,0,0,0,640,0,0,0,0,0,0,612
26,0,0,0,768,0,0,0,0,0,0,525
27,0,0,0,128,0,0,0,0,0,0,564
28,0,0,0,512,0,0,0,0,0,0,669
29,0,0,0,1664,0,0,0,0,0,0,537
30,0,0,0,512,0,0,0,0,0,0,749
31,0,0,0,1408,0,0,0,0,0,0,540
32,0,0,0,2944,0,0,0,0,0,0,812
33,0,0,0,1280,0,0,0,0,0,0,645
34,0,0,0,128,0,0,0,0,0,0,620
35,0,0,0,512,0,0,0,0,0,0,538
36,0,0,0,512,0,0,0,0,0,0,688
37,10,10,10,1536,0,10,0,0,10,0,629
38,10,10,10,256,0,0,0,0,0,0,755
39,10,10,10,128,0,0,0,0,0,0,591
40,11,11,11,1664,0,1,0,0,1,0,856
41,11,11,11,4992,0,0,0,0,0,0,855
42,11,11,11,640,0,0,0,0,0,0,858
43,11,11,11,2048,0,0,0,0,0,0,804
44,11,11,11,896,0,0,0,0,0,0,896
45,11,11,11,1792,0,0,0,0,0,0,1008
46,11,11,11,640,0,0,0,0,0,0,769
47,11,11,11,384,0,0,0,0,0,0,876
48,11,11,11,128,0,0,0,0,0,0,804
49,11,11,11,1792,0,0,0,0,0,0,891
50,13,13,13,1792,0,2,0,0,2,0,976
51,13,13,13,256,0,0,0,0,0,0,889
52,13,13,13,256,0,0,0,0,0,0,906
53,14,14,14,1792,0,1,0,0,1,0,962
54,14,14,14,256,0,0,0,0,0,0,1092
55,14,14,14,512,0,0,0,0,0,0,1065
56,14,14,14,384,0,0,0,0,0,0,1222
57,14,14,14,640,0,0,0,0,0,0,1290
58,14,14,14,256,0,0,0,0,0,0,1146
59,15,15,15,768,0,1,0,0,1,0,1411
60,16,16,16,640,0,1,0,0,1,0,1323
61,16,16,16,2048,0,0,0,0,0,0,1305
62,16,16,16,4992,0,0,0,0,0,0,1434
63,16,16,16,512,0,0,0,0,0,0,1375
64,16,16,16,5504,0,0,0,0,0,0,1450
65,16,16,16,640,0,0,0,0,0,0,1446
66,16,16,16,4864,0,0,0,0,0,0,1459
67,16,16,16,1920,0,0,0,0,0,0,1654
68,26,26,26,4224,0,10,0,0,10,0,1440
69,26,26,26,512,0,0,0,0,0,0,1601
70,26,26,26,1536,0,0,0,0,0,0,1663
71,27,27,27,2176,0,1,0,0,1,0,1531
