tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,963
1,0,0,0,896,0,0,0,0,0,0,970
2,0,0,0,0,0,0,0,0,0,0,1051
3,0,0,0,19712,0,0,0,0,0,0,939
4,0,0,0,1792,0,0,0,0,0,0,790
5,0,0,0,11648,0,0,0,0,0,0,805
6,0,0,0,0,0,0,0,0,0,0,970
7,0,0,0,1792,0,0,0,0,0,0,782
8,0,0,0,8960,0,0,0,0,0,0,753
9,0,0,0,896,0,0,0,0,0,0,811
10,0,0,0,0,0,0,0,0,0,0,804
11,0,0,0,2688,0,0,0,0,0,0,665
12,0,0,0,896,0,0,0,0,0,0,767
13,0,0,0,0,0,0,0,0,0,0,694
14,0,0,0,8960,0,0,0,0,0,0,651
15,0,0,0,0,0,0,0,0,0,0,822
16,0,0,0,896,0,0,0,0,0,0,600
17,0,0,0,0,0,0,0,0,0,0,700
18,0,0,0,0,0,0,0,0,0,0,676
19,0,0,0,0,0,0,0,0,0,0,746
20,0,0,0,896,0,0,0,0,0,0,739
21,0,0,0,896,0,0,0,0,0,0,681
22,0,0,0,0,0,0,0,0,0,0,705
23,0,0,0,896,0,0,0,0,0,0,689
24,0,0,0,0,0,0,0,0,0,0,761
25,0,0,0,896,0,0,0,0,0,0,596
26,0,0,0,0,0,0,0,0,0,0,707
27,0,0,0,896,0,0,0,0,0,0,710
28,0,0,0,896,0,0,0,0,0,0,690
29,0,0,0,0,0,0,0,0,0,0,695
30,0,0,0,0,0,0,0,0,0,0,733
31,0,0,0,0,0,0,0,0,0,0,728
32,0,0,0,0,0,0,0,0,0,0,694
33,0,0,0,0,0,0,0,0,0,0,821
34,0,0,0,896,0,0,0,0,0,0,681
35,0,0,0,1792,0,0,0,0,0,0,712
36,0,0,0,0,0,0,0,0,0,0,674
37,0,0,0,896,0,0,0,0,0,0,794
38,0,0,0,11648,0,0,0,0,0,0,798
39,0,0,0,896,0,0,0,0,0,0,666
40,0,0,0,896,0,0,0,0,0,0,747
41,0,0,0,2688,0,0,0,0,0,0,892
42,0,0,0,13440,0,0,0,0,0,0,1019
43,0,0,0,0,0,0,0,0,0,0,972
44,0,0,0,1792,0,0,0,0,0,0,962
45,0,0,0,8064,0,0,0,0,0,0,958
46,0,0,0,3584,0,0,0,0,0,0,975
47,0,0,0,896,0,0,0,0,0,0,1058
48,0,0,0,10752,0,0,0,0,0,0,1106
49,0,0,0,896,0,0,0,0,0,0,1111
50,0,0,0,8064,0,0,0,0,0,0,1189
51,1,1,1,896,0,1,0,0,1,0,1204
52,1,1,1,0,0,0,0,0,0,0,1076
53,1,1,1,2688,0,0,0,0,0,0,1071
54,1,1,1,0,0,0,0,0,0,0,1088
55,1,1,1,0,0,0,0,0,0,0,1220
56,1,1,1,1792,0,0,0,0,0,0,1117
57,2,2,2,1792,0,1,0,0,1,0,1241
58,2,2,2,896,0,0,0,0,0,0,1240
59,2,2,2,896,0,0,0,0,0,0,1302
60,2,2,2,896,0,0,0,0,0,0,1233
61,2,2,2,896,0,0,0,0,0,0,1481
62,2,2,2,1792,0,0,0,0,0,0,1336
63,2,2,2,896,0,0,0,0,0,0,1606
64,2,2,2,14336,0,0,0,0,0,0,1306
65,2,2,2,896,0,0,0,0,0,0,1594
66,2,2,2,0,0,0,0,0,0,0,1771
67,2,2,2,0,0,0,0,0,0,0,1779
68,2,2,2,1792,0,0,0,0,0,0,1658
69,2,2,2,0,0,0,0,0,0,0,1571
70,2,2,2,17024,0,0,0,0,0,0,1743
71,3,3,3,1792,0,1,0,0,1,0,1929
