tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,860,12000
1,0,0,0,0,0,0,0,0,0,0,738,12000
2,0,0,0,0,0,0,0,0,0,0,778,12000
3,0,0,0,19712,0,0,0,0,0,0,755,12000
4,0,0,0,896,0,0,0,0,0,0,930,12000
5,0,0,0,1792,0,0,0,0,0,0,897,12000
6,0,0,0,0,0,0,0,0,0,0,671,12000
7,0,0,0,0,0,0,0,0,0,0,725,12000
8,0,0,0,0,0,0,0,0,0,0,892,12000
9,0,0,0,896,0,0,0,0,0,0,839,12000
10,0,0,0,8064,0,0,0,0,0,0,649,12000
11,0,0,0,896,0,0,0,0,0,0,722,12000
12,0,0,0,896,0,0,0,0,0,0,746,2
13,0,0,0,0,0,0,0,0,0,0,736,2
14,0,0,0,0,0,0,0,0,0,0,673,2
15,0,0,0,1792,0,0,0,0,0,0,530,6
16,0,0,0,11648,0,0,0,0,0,0,634,20
17,0,0,0,0,0,0,0,0,0,0,765,20
18,0,0,0,0,0,0,0,0,0,0,681,20
19,0,0,0,7168,0,0,0,0,0,0,500,28
20,0,0,0,0,0,0,0,0,0,0,679,28
21,0,0,0,0,0,0,0,0,0,0,714,28
22,0,0,0,896,0,0,0,0,0,0,527,30
23,0,0,0,0,0,0,0,0,0,0,716,30
24,0,0,0,896,0,0,0,0,0,0,585,2
25,0,0,0,896,0,0,0,0,0,0,608,4
26,0,0,0,896,0,0,0,0,0,0,579,6
27,0,0,0,10752,0,0,0,0,0,0,702,18
28,0,0,0,0,0,0,0,0,0,0,642,18
29,0,0,0,0,0,0,0,0,0,0,786,18
30,0,0,0,1792,0,0,0,0,0,0,636,22
31,0,0,0,1792,0,0,0,0,0,0,685,26
32,0,0,0,0,0,0,0,0,0,0,691,26
33,0,0,0,896,0,0,0,0,0,0,881,28
34,0,0,0,896,0,0,0,0,0,0,506,30
35,0,0,0,896,0,0,0,0,0,0,718,32
36,0,0,0,896,0,0,0,0,0,0,493,2
37,0,0,0,896,0,0,0,0,0,0,663,4
38,0,0,0,1792,0,0,0,0,0,0,686,8
39,0,0,0,0,0,0,0,0,0,0,758,8
40,0,0,0,0,0,0,0,0,0,0,681,8
41,0,0,0,2688,0,0,0,0,0,0,629,14
42,0,0,0,0,0,0,0,0,0,0,758,14
43,0,0,0,0,0,0,0,0,0,0,752,14
44,0,0,0,0,0,0,0,0,0,0,641,14
45,0,0,0,1792,0,0,0,0,0,0,750,17
46,0,0,0,0,0,0,0,0,0,0,907,17
47,0,0,0,1792,0,0,0,0,0,0,822,21
48,0,0,0,0,0,0,0,0,0,0,969,0
49,0,0,0,896,0,0,0,0,0,0,928,2
50,1,1,1,896,0,1,0,0,1,0,977,3
51,1,1,1,0,0,0,0,0,0,0,955,3
52,1,1,1,896,0,0,0,0,0,0,964,5
53,1,1,1,0,0,0,0,0,0,0,1113,5
54,1,1,1,0,0,0,0,0,0,0,1163,5
55,1,1,1,1792,0,0,0,0,0,0,1021,9
56,1,1,1,896,0,0,0,0,0,0,1255,11
57,1,1,1,0,0,0,0,0,0,0,1296,11
58,1,1,1,896,0,0,0,0,0,0,1396,13
59,2,2,2,29568,0,1,0,0,1,0,1289,50
60,2,2,2,0,0,0,0,0,0,0,1348,0
61,2,2,2,10752,0,0,0,0,0,0,1475,13
62,2,2,2,896,0,0,0,0,0,0,1449,15
63,2,2,2,2688,0,0,0,0,0,0,1508,21
64,2,2,2,1792,0,0,0,0,0,0,1509,25
65,2,2,2,8064,0,0,0,0,0,0,1589,34
66,2,2,2,0,0,0,0,0,0,0,1580,34
67,2,2,2,34048,0,0,0,0,0,0,1576,72
68,2,2,2,1792,0,0,0,0,0,0,1637,76
69,2,2,2,3584,0,0,0,0,0,0,1783,84
70,2,2,2,896,0,0,0,0,0,0,1836,86
71,2,2,2,1792,0,0,0,0,0,0,1680,90
