tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,923
1,0,0,0,896,0,0,0,0,0,0,980
2,0,0,0,0,0,0,0,0,0,0,985
3,0,0,0,0,0,0,0,0,0,0,991
4,0,0,0,0,0,0,0,0,0,0,795
5,0,0,0,896,0,0,0,0,0,0,788
6,0,0,0,0,0,0,0,0,0,0,889
7,0,0,0,1792,0,0,0,0,0,0,841
8,0,0,0,0,0,0,0,0,0,0,758
9,0,0,0,0,0,0,0,0,0,0,799
10,0,0,0,0,0,0,0,0,0,0,821
11,0,0,0,896,0,0,0,0,0,0,859
12,0,0,0,9856,0,0,0,0,0,0,751
13,0,0,0,0,0,0,0,0,0,0,727
14,0,0,0,0,0,0,0,0,0,0,710
15,0,0,0,6272,0,0,0,0,0,0,698
16,0,0,0,896,0,0,0,0,0,0,681
17,0,0,0,0,0,0,0,0,0,0,647
18,0,0,0,0,0,0,0,0,0,0,758
19,0,0,0,0,0,0,0,0,0,0,567
20,0,0,0,0,0,0,0,0,0,0,633
21,0,0,0,896,0,0,0,0,0,0,469
22,0,0,0,1792,0,0,0,0,0,0,620
23,0,0,0,0,0,0,0,0,0,0,577
24,0,0,0,896,0,0,0,0,0,0,666
25,0,0,0,896,0,0,0,0,0,0,583
26,0,0,0,0,0,0,0,0,0,0,652
27,0,0,0,1792,0,0,0,0,0,0,778
28,0,0,0,2688,0,0,0,0,0,0,677
29,0,0,0,0,0,0,0,0,0,0,744
30,0,0,0,0,0,0,0,0,0,0,651
31,0,0,0,0,0,0,0,0,0,0,682
32,0,0,0,896,0,0,0,0,0,0,647
33,0,0,0,11648,0,0,0,0,0,0,761
34,0,0,0,0,0,0,0,0,0,0,739
35,0,0,0,1792,0,0,0,0,0,0,657
36,0,0,0,896,0,0,0,0,0,0,743
37,0,0,0,0,0,0,0,0,0,0,725
38,0,0,0,0,0,0,0,0,0,0,820
39,0,0,0,896,0,0,0,0,0,0,776
40,0,0,0,0,0,0,0,0,0,0,805
41,0,0,0,0,0,0,0,0,0,0,703
42,0,0,0,0,0,0,0,0,0,0,750
43,0,0,0,896,0,0,0,0,0,0,715
44,0,0,0,1792,0,0,0,0,0,0,789
45,0,0,0,0,0,0,0,0,0,0,850
46,0,0,0,896,0,0,0,0,0,0,834
47,0,0,0,0,0,0,0,0,0,0,872
48,0,0,0,0,0,0,0,0,0,0,840
49,0,0,0,0,0,0,0,0,0,0,871
50,0,0,0,0,0,0,0,0,0,0,1042
51,0,0,0,0,0,0,0,0,0,0,1177
52,1,1,1,10752,0,1,0,0,1,0,1138
53,2,2,2,13440,0,1,0,0,1,0,1042
54,2,2,2,2688,0,0,0,0,0,0,952
55,2,2,2,2688,0,0,0,0,0,0,1239
56,2,2,2,1792,0,0,0,0,0,0,1217
57,2,2,2,896,0,0,0,0,0,0,1271
58,2,2,2,8064,0,0,0,0,0,0,1340
59,2,2,2,1792,0,0,0,0,0,0,1299
60,6,6,6,21504,0,4,0,0,4,0,1293
61,6,6,6,3584,0,0,0,0,0,0,1300
62,7,7,7,13440,0,1,0,0,1,0,1569
63,7,7,7,3584,0,0,0,0,0,0,1217
64,7,7,7,0,0,0,0,0,0,0,1446
65,20,20,20,24192,0,13,0,0,13,0,1557
66,20,20,20,1792,0,0,0,0,0,0,1608
67,21,21,21,10752,0,1,0,0,1,0,1600
68,21,21,21,0,0,0,0,0,0,0,1548
69,21,21,21,0,0,0,0,0,0,0,1711
70,21,21,21,0,0,0,0,0,0,0,1695
71,21,21,21,1792,0,0,0,0,0,0,1786
