tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,896,0,0,0,0,0,0,737
1,0,0,0,896,0,0,0,0,0,0,723
2,0,0,0,896,0,0,0,0,0,0,680
3,0,0,0,2688,0,0,0,0,0,0,783
4,0,0,0,2688,0,0,0,0,0,0,792
5,0,0,0,18816,0,0,0,0,0,0,612
6,0,0,0,0,0,0,0,0,0,0,681
7,0,0,0,896,0,0,0,0,0,0,673
8,0,0,0,13440,0,0,0,0,0,0,565
9,0,0,0,0,0,0,0,0,0,0,584
10,0,0,0,896,0,0,0,0,0,0,621
11,0,0,0,7168,0,0,0,0,0,0,545
12,0,0,0,8064,0,0,0,0,0,0,580
13,0,0,0,1792,0,0,0,0,0,0,586
14,0,0,0,2688,0,0,0,0,0,0,637
15,0,0,0,8960,0,0,0,0,0,0,666
16,0,0,0,18816,0,0,0,0,0,0,687
17,0,0,0,34048,0,0,0,0,0,0,647
18,0,0,0,0,0,0,0,0,0,0,618
19,0,0,0,896,0,0,0,0,0,0,646
20,0,0,0,0,0,0,0,0,0,0,503
21,0,0,0,8960,0,0,0,0,0,0,473
22,0,0,0,21504,0,0,0,0,0,0,468
23,0,0,0,0,0,0,0,0,0,0,521
24,0,0,0,896,0,0,0,0,0,0,380
25,0,0,0,8064,0,0,0,0,0,0,532
26,0,0,0,896,0,0,0,0,0,0,496
27,0,0,0,896,0,0,0,0,0,0,663
28,0,0,0,0,0,0,0,0,0,0,536
29,0,0,0,0,0,0,0,0,0,0,564
30,0,0,0,896,0,0,0,0,0,0,594
31,0,0,0,1792,0,0,0,0,0,0,622
32,0,0,0,0,0,0,0,0,0,0,563
33,0,0,0,896,0,0,0,0,0,0,478
34,0,0,0,0,0,0,0,0,0,0,608
35,0,0,0,20608,0,0,0,0,0,0,595
36,0,0,0,896,0,0,0,0,0,0,708
37,0,0,0,0,0,0,0,0,0,0,770
38,1,1,1,10752,0,1,0,0,1,0,632
39,1,1,1,0,0,0,0,0,0,0,589
40,1,1,1,896,0,0,0,0,0,0,653
41,3,3,3,22400,0,2,0,0,2,0,754
42,3,3,3,896,0,0,0,0,0,0,756
43,3,3,3,0,0,0,0,0,0,0,623
44,3,3,3,1792,0,0,0,0,0,0,841
45,3,3,3,896,0,0,0,0,0,0,609
46,3,3,3,0,0,0,0,0,0,0,752
47,3,3,3,0,0,0,0,0,0,0,817
48,3,3,3,896,0,0,0,0,0,0,646
49,4,4,4,21504,0,1,0,0,1,0,813
50,7,7,7,13440,0,3,0,0,3,0,808
51,7,7,7,0,0,0,0,0,0,0,838
52,7,7,7,2688,0,0,0,0,0,0,885
53,7,7,7,0,0,0,0,0,0,0,794
54,7,7,7,1792,0,0,0,0,0,0,896
55,8,8,8,15232,0,1,0,0,1,0,919
56,9,9,9,896,0,1,0,0,1,0,863
57,9,9,9,896,0,0,0,0,0,0,1043
58,10,10,10,15232,0,1,0,0,1,0,975
59,10,10,10,10752,0,0,0,0,0,0,976
60,11,11,11,26880,0,2,0,0,2,0,986
61,12,12,12,10752,0,1,0,0,1,0,1093
62,13,13,13,4480,0,1,0,0,1,0,1036
63,14,14,14,1792,0,1,0,0,1,0,1136
64,14,14,14,0,0,0,0,0,0,0,1189
65,14,14,14,2688,0,0,0,0,0,0,1052
66,14,14,14,896,0,0,0,0,0,0,1211
67,14,14,14,0,0,0,0,0,0,0,1357
68,15,15,15,13440,0,1,0,0,1,0,1242
69,15,15,15,2688,0,0,0,0,0,0,1255
70,16,16,16,10752,0,1,0,0,1,0,1158
71,16,16,16,8960,0,0,0,0,0,0,1333
