mode,p_gossip,adoption,t_min,latest_frac_mean,latest_frac_q25,latest_frac_q75,reps
sth_proof,0.012,0.2,20.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,25.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,30.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,35.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,40.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,45.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,50.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,55.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,60.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,65.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,70.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,75.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,80.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,85.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,90.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,95.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,100.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,105.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,110.0,1.0,1.0,1.0,8
sth_proof,0.012,0.2,115.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,0.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,5.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,10.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,15.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,20.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,25.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,30.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,35.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,40.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,45.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,50.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,55.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,60.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,65.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,70.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,75.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,80.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,85.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,90.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,95.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,100.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,105.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,110.0,1.0,1.0,1.0,8
sth_proof,0.02,0.2,115.0,1.0,1.0,1.0,8
