tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,867
1,0,0,0,0,0,0,0,0,0,0,826
2,0,0,0,0,0,0,0,0,0,0,831
3,0,0,0,15232,0,0,0,0,0,0,964
4,0,0,0,0,0,0,0,0,0,0,753
5,0,0,0,0,0,0,0,0,0,0,751
6,0,0,0,0,0,0,0,0,0,0,780
7,0,0,0,896,0,0,0,0,0,0,640
8,0,0,0,0,0,0,0,0,0,0,769
9,0,0,0,0,0,0,0,0,0,0,701
10,0,0,0,0,0,0,0,0,0,0,677
11,0,0,0,896,0,0,0,0,0,0,634
12,0,0,0,896,0,0,0,0,0,0,681
13,0,0,0,11648,0,0,0,0,0,0,563
14,0,0,0,0,0,0,0,0,0,0,636
15,0,0,0,0,0,0,0,0,0,0,660
16,0,0,0,0,0,0,0,0,0,0,649
17,0,0,0,8064,0,0,0,0,0,0,490
18,0,0,0,0,0,0,0,0,0,0,589
19,0,0,0,896,0,0,0,0,0,0,497
20,0,0,0,0,0,0,0,0,0,0,612
21,0,0,0,896,0,0,0,0,0,0,689
22,0,0,0,0,0,0,0,0,0,0,495
23,0,0,0,896,0,0,0,0,0,0,540
24,0,0,0,896,0,0,0,0,0,0,572
25,0,0,0,0,0,0,0,0,0,0,622
26,0,0,0,896,0,0,0,0,0,0,558
27,0,0,0,896,0,0,0,0,0,0,639
28,0,0,0,0,0,0,0,0,0,0,631
29,0,0,0,0,0,0,0,0,0,0,632
30,0,0,0,896,0,0,0,0,0,0,616
31,0,0,0,0,0,0,0,0,0,0,714
32,0,0,0,1792,0,0,0,0,0,0,543
33,0,0,0,0,0,0,0,0,0,0,612
34,0,0,0,0,0,0,0,0,0,0,540
35,0,0,0,0,0,0,0,0,0,0,648
36,1,1,1,11648,0,1,0,0,1,0,741
37,1,1,1,0,0,0,0,0,0,0,741
38,1,1,1,0,0,0,0,0,0,0,805
39,1,1,1,0,0,0,0,0,0,0,618
40,1,1,1,0,0,0,0,0,0,0,862
41,1,1,1,0,0,0,0,0,0,0,710
42,1,1,1,0,0,0,0,0,0,0,896
43,1,1,1,0,0,0,0,0,0,0,719
44,1,1,1,0,0,0,0,0,0,0,825
45,1,1,1,0,0,0,0,0,0,0,693
46,1,1,1,8064,0,0,0,0,0,0,792
47,1,1,1,0,0,0,0,0,0,0,1076
48,1,1,1,896,0,0,0,0,0,0,871
49,1,1,1,896,0,0,0,0,0,0,1062
50,1,1,1,0,0,0,0,0,0,0,969
51,1,1,1,1792,0,0,0,0,0,0,1048
52,1,1,1,0,0,0,0,0,0,0,1124
53,1,1,1,0,0,0,0,0,0,0,998
54,1,1,1,0,0,0,0,0,0,0,1106
55,1,1,1,0,0,0,0,0,0,0,1019
56,1,1,1,896,0,0,0,0,0,0,1173
57,1,1,1,896,0,0,0,0,0,0,1343
58,1,1,1,13440,0,0,0,0,0,0,1167
59,1,1,1,14336,0,0,0,0,0,0,1338
60,1,1,1,0,0,0,0,0,0,0,1295
61,1,1,1,896,0,0,0,0,0,0,1387
62,1,1,1,0,0,0,0,0,0,0,1314
63,1,1,1,896,0,0,0,0,0,0,1438
64,1,1,1,1792,0,0,0,0,0,0,1403
65,1,1,1,1792,0,0,0,0,0,0,1442
66,1,1,1,0,0,0,0,0,0,0,1384
67,1,1,1,0,0,0,0,0,0,0,1735
68,1,1,1,1792,0,0,0,0,0,0,1507
69,1,1,1,2688,0,0,0,0,0,0,1592
70,1,1,1,0,0,0,0,0,0,0,1679
71,1,1,1,2688,0,0,0,0,0,0,1739
