tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,795
1,0,0,0,0,0,0,0,0,0,0,779
2,0,0,0,0,0,0,0,0,0,0,840
3,0,0,0,17024,0,0,0,0,0,0,778
4,0,0,0,896,0,0,0,0,0,0,840
5,0,0,0,896,0,0,0,0,0,0,764
6,0,0,0,0,0,0,0,0,0,0,641
7,0,0,0,0,0,0,0,0,0,0,634
8,0,0,0,0,0,0,0,0,0,0,522
9,0,0,0,8064,0,0,0,0,0,0,625
10,0,0,0,9856,0,0,0,0,0,0,605
11,0,0,0,10752,0,0,0,0,0,0,625
12,0,0,0,2688,0,0,0,0,0,0,624
13,0,0,0,0,0,0,0,0,0,0,603
14,0,0,0,896,0,0,0,0,0,0,554
15,0,0,0,13440,0,0,0,0,0,0,677
16,0,0,0,0,0,0,0,0,0,0,500
17,0,0,0,1792,0,0,0,0,0,0,588
18,0,0,0,0,0,0,0,0,0,0,612
19,0,0,0,896,0,0,0,0,0,0,432
20,0,0,0,0,0,0,0,0,0,0,508
21,0,0,0,9856,0,0,0,0,0,0,511
22,0,0,0,0,0,0,0,0,0,0,506
23,0,0,0,896,0,0,0,0,0,0,488
24,0,0,0,0,0,0,0,0,0,0,455
25,0,0,0,0,0,0,0,0,0,0,419
26,0,0,0,896,0,0,0,0,0,0,436
27,0,0,0,0,0,0,0,0,0,0,707
28,0,0,0,896,0,0,0,0,0,0,539
29,0,0,0,0,0,0,0,0,0,0,465
30,0,0,0,0,0,0,0,0,0,0,462
31,0,0,0,0,0,0,0,0,0,0,569
32,0,0,0,1792,0,0,0,0,0,0,568
33,0,0,0,0,0,0,0,0,0,0,387
34,0,0,0,0,0,0,0,0,0,0,365
35,0,0,0,0,0,0,0,0,0,0,634
36,0,0,0,0,0,0,0,0,0,0,514
37,0,0,0,896,0,0,0,0,0,0,847
38,0,0,0,896,0,0,0,0,0,0,605
39,2,2,2,10752,0,2,0,0,2,0,547
40,2,2,2,0,0,0,0,0,0,0,668
41,2,2,2,0,0,0,0,0,0,0,560
42,3,3,3,896,0,1,0,0,1,0,651
43,3,3,3,896,0,0,0,0,0,0,623
44,3,3,3,1792,0,0,0,0,0,0,695
45,3,3,3,10752,0,0,0,0,0,0,672
46,3,3,3,896,0,0,0,0,0,0,755
47,6,6,6,23296,0,3,0,0,3,0,764
48,6,6,6,0,0,0,0,0,0,0,806
49,6,6,6,896,0,0,0,0,0,0,718
50,6,6,6,0,0,0,0,0,0,0,725
51,6,6,6,0,0,0,0,0,0,0,868
52,6,6,6,0,0,0,0,0,0,0,816
53,7,7,7,9856,0,1,0,0,1,0,928
54,7,7,7,896,0,0,0,0,0,0,770
55,7,7,7,0,0,0,0,0,0,0,1019
56,7,7,7,896,0,0,0,0,0,0,917
57,7,7,7,1792,0,0,0,0,0,0,976
58,7,7,7,1792,0,0,0,0,0,0,1084
59,7,7,7,0,0,0,0,0,0,0,1046
60,7,7,7,9856,0,0,0,0,0,0,1014
61,7,7,7,8064,0,0,0,0,0,0,1041
62,7,7,7,6272,0,0,0,0,0,0,1152
63,7,7,7,0,0,0,0,0,0,0,1170
64,8,8,8,896,0,1,0,0,1,0,1374
65,8,8,8,0,0,0,0,0,0,0,1217
66,8,8,8,896,0,0,0,0,0,0,1154
67,8,8,8,896,0,0,0,0,0,0,1188
68,8,8,8,0,0,0,0,0,0,0,1378
69,8,8,8,896,0,0,0,0,0,0,1406
70,8,8,8,896,0,0,0,0,0,0,1165
71,8,8,8,15232,0,0,0,0,0,0,1310
