tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,963
1,0,0,0,0,0,0,0,0,0,0,970
2,0,0,0,0,0,0,0,0,0,0,1051
3,0,0,0,896,0,0,0,0,0,0,939
4,0,0,0,1792,0,0,0,0,0,0,790
5,0,0,0,11648,0,0,0,0,0,0,805
6,0,0,0,0,0,0,0,0,0,0,970
7,0,0,0,0,0,0,0,0,0,0,782
8,0,0,0,896,0,0,0,0,0,0,753
9,0,0,0,896,0,0,0,0,0,0,811
10,0,0,0,0,0,0,0,0,0,0,804
11,0,0,0,896,0,0,0,0,0,0,665
12,0,0,0,0,0,0,0,0,0,0,767
13,0,0,0,0,0,0,0,0,0,0,694
14,0,0,0,8960,0,0,0,0,0,0,651
15,0,0,0,0,0,0,0,0,0,0,822
16,0,0,0,896,0,0,0,0,0,0,600
17,0,0,0,0,0,0,0,0,0,0,700
18,0,0,0,0,0,0,0,0,0,0,676
19,0,0,0,0,0,0,0,0,0,0,746
20,0,0,0,896,0,0,0,0,0,0,739
21,0,0,0,896,0,0,0,0,0,0,681
22,0,0,0,0,0,0,0,0,0,0,705
23,0,0,0,896,0,0,0,0,0,0,689
24,0,0,0,0,0,0,0,0,0,0,761
25,0,0,0,896,0,0,0,0,0,0,596
26,0,0,0,0,0,0,0,0,0,0,707
27,0,0,0,896,0,0,0,0,0,0,710
28,0,0,0,896,0,0,0,0,0,0,690
29,0,0,0,0,0,0,0,0,0,0,695
30,0,0,0,0,0,0,0,0,0,0,733
31,0,0,0,0,0,0,0,0,0,0,728
32,0,0,0,0,0,0,0,0,0,0,694
33,0,0,0,0,0,0,0,0,0,0,821
34,0,0,0,896,0,0,0,0,0,0,681
35,0,0,0,0,0,0,0,0,0,0,712
36,0,0,0,0,0,0,0,0,0,0,674
37,0,0,0,0,0,0,0,0,0,0,794
38,1,1,1,11648,0,1,0,0,1,0,798
39,1,1,1,896,0,0,0,0,0,0,666
40,1,1,1,896,0,0,0,0,0,0,747
41,1,1,1,1792,0,0,0,0,0,0,892
42,1,1,1,12544,0,0,0,0,0,0,1019
43,1,1,1,0,0,0,0,0,0,0,972
44,1,1,1,896,0,0,0,0,0,0,962
45,1,1,1,0,0,0,0,0,0,0,958
46,2,2,2,896,0,1,0,0,1,0,975
47,2,2,2,896,0,0,0,0,0,0,1058
48,2,2,2,10752,0,0,0,0,0,0,1106
49,2,2,2,0,0,0,0,0,0,0,1111
50,2,2,2,0,0,0,0,0,0,0,1189
51,3,3,3,896,0,1,0,0,1,0,1204
52,3,3,3,0,0,0,0,0,0,0,1076
53,3,3,3,896,0,0,0,0,0,0,1071
54,3,3,3,0,0,0,0,0,0,0,1088
55,3,3,3,0,0,0,0,0,0,0,1220
56,3,3,3,1792,0,0,0,0,0,0,1117
57,4,4,4,1792,0,1,0,0,1,0,1241
58,4,4,4,0,0,0,0,0,0,0,1240
59,4,4,4,896,0,0,0,0,0,0,1302
60,4,4,4,896,0,0,0,0,0,0,1233
61,4,4,4,0,0,0,0,0,0,0,1481
62,4,4,4,1792,0,0,0,0,0,0,1336
63,4,4,4,896,0,0,0,0,0,0,1606
64,4,4,4,12544,0,0,0,0,0,0,1306
65,4,4,4,896,0,0,0,0,0,0,1594
66,4,4,4,0,0,0,0,0,0,0,1771
67,4,4,4,0,0,0,0,0,0,0,1779
68,4,4,4,896,0,0,0,0,0,0,1658
69,4,4,4,0,0,0,0,0,0,0,1571
70,4,4,4,17024,0,0,0,0,0,0,1743
71,4,4,4,0,0,0,0,0,0,0,1929
