tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,896,0,0,0,0,0,0,867
1,0,0,0,896,0,0,0,0,0,0,826
2,0,0,0,0,0,0,0,0,0,0,831
3,0,0,0,15232,0,0,0,0,0,0,964
4,0,0,0,896,0,0,0,0,0,0,753
5,0,0,0,896,0,0,0,0,0,0,751
6,0,0,0,0,0,0,0,0,0,0,780
7,0,0,0,896,0,0,0,0,0,0,640
8,0,0,0,0,0,0,0,0,0,0,769
9,0,0,0,0,0,0,0,0,0,0,701
10,0,0,0,896,0,0,0,0,0,0,677
11,0,0,0,896,0,0,0,0,0,0,634
12,0,0,0,896,0,0,0,0,0,0,681
13,0,0,0,11648,0,0,0,0,0,0,563
14,0,0,0,0,0,0,0,0,0,0,636
15,0,0,0,0,0,0,0,0,0,0,660
16,0,0,0,0,0,0,0,0,0,0,649
17,0,0,0,8064,0,0,0,0,0,0,490
18,0,0,0,1792,0,0,0,0,0,0,589
19,0,0,0,896,0,0,0,0,0,0,497
20,0,0,0,0,0,0,0,0,0,0,612
21,0,0,0,896,0,0,0,0,0,0,689
22,0,0,0,1792,0,0,0,0,0,0,495
23,0,0,0,896,0,0,0,0,0,0,540
24,0,0,0,896,0,0,0,0,0,0,572
25,0,0,0,0,0,0,0,0,0,0,622
26,0,0,0,1792,0,0,0,0,0,0,558
27,0,0,0,896,0,0,0,0,0,0,639
28,0,0,0,0,0,0,0,0,0,0,631
29,0,0,0,0,0,0,0,0,0,0,632
30,0,0,0,7168,0,0,0,0,0,0,616
31,0,0,0,0,0,0,0,0,0,0,714
32,0,0,0,1792,0,0,0,0,0,0,543
33,0,0,0,0,0,0,0,0,0,0,612
34,0,0,0,0,0,0,0,0,0,0,540
35,0,0,0,0,0,0,0,0,0,0,648
36,1,1,1,11648,0,1,0,0,1,0,741
37,1,1,1,0,0,0,0,0,0,0,741
38,1,1,1,0,0,0,0,0,0,0,805
39,2,2,2,17024,0,1,0,0,1,0,618
40,2,2,2,0,0,0,0,0,0,0,862
41,2,2,2,0,0,0,0,0,0,0,710
42,2,2,2,896,0,0,0,0,0,0,896
43,2,2,2,0,0,0,0,0,0,0,719
44,2,2,2,0,0,0,0,0,0,0,825
45,2,2,2,896,0,0,0,0,0,0,693
46,2,2,2,8064,0,0,0,0,0,0,792
47,2,2,2,0,0,0,0,0,0,0,1076
48,2,2,2,896,0,0,0,0,0,0,871
49,2,2,2,896,0,0,0,0,0,0,1062
50,2,2,2,0,0,0,0,0,0,0,969
51,2,2,2,1792,0,0,0,0,0,0,1048
52,2,2,2,0,0,0,0,0,0,0,1124
53,2,2,2,896,0,0,0,0,0,0,998
54,2,2,2,896,0,0,0,0,0,0,1106
55,2,2,2,0,0,0,0,0,0,0,1019
56,2,2,2,896,0,0,0,0,0,0,1173
57,2,2,2,896,0,0,0,0,0,0,1343
58,2,2,2,13440,0,0,0,0,0,0,1167
59,2,2,2,14336,0,0,0,0,0,0,1338
60,2,2,2,0,0,0,0,0,0,0,1295
61,2,2,2,896,0,0,0,0,0,0,1387
62,2,2,2,0,0,0,0,0,0,0,1314
63,2,2,2,1792,0,0,0,0,0,0,1438
64,2,2,2,2688,0,0,0,0,0,0,1403
65,2,2,2,1792,0,0,0,0,0,0,1442
66,2,2,2,896,0,0,0,0,0,0,1384
67,2,2,2,0,0,0,0,0,0,0,1735
68,2,2,2,2688,0,0,0,0,0,0,1507
69,2,2,2,2688,0,0,0,0,0,0,1592
70,2,2,2,8064,0,0,0,0,0,0,1679
71,2,2,2,2688,0,0,0,0,0,0,1739
